date,region,channel,activations
2026-05-01,NORTHEAST,RETAIL,78
2026-05-01,NORTHEAST,DIGITAL,83
2026-05-01,SOUTHEAST,RETAIL,88
2026-05-01,SOUTHEAST,DIGITAL,93
2026-05-01,CENTRAL,RETAIL,98
2026-05-01,CENTRAL,DIGITAL,103
2026-05-01,WEST,RETAIL,108
2026-05-01,WEST,DIGITAL,113
2026-05-02,NORTHEAST,RETAIL,78
2026-05-02,NORTHEAST,DIGITAL,83
2026-05-02,SOUTHEAST,RETAIL,88
2026-05-02,SOUTHEAST,DIGITAL,93
2026-05-02,CENTRAL,RETAIL,98
2026-05-02,CENTRAL,DIGITAL,103
2026-05-02,WEST,RETAIL,108
2026-05-02,WEST,DIGITAL,113
2026-05-03,NORTHEAST,RETAIL,78
2026-05-03,NORTHEAST,DIGITAL,83
2026-05-03,SOUTHEAST,RETAIL,88
2026-05-03,SOUTHEAST,DIGITAL,93
2026-05-03,CENTRAL,RETAIL,98
2026-05-03,CENTRAL,DIGITAL,103
2026-05-03,WEST,RETAIL,108
2026-05-03,WEST,DIGITAL,113
2026-05-04,NORTHEAST,RETAIL,78
2026-05-04,NORTHEAST,DIGITAL,83
2026-05-04,SOUTHEAST,RETAIL,88
2026-05-04,SOUTHEAST,DIGITAL,93
2026-05-04,CENTRAL,RETAIL,98
2026-05-04,CENTRAL,DIGITAL,103
2026-05-04,WEST,RETAIL,108
2026-05-04,WEST,DIGITAL,113
2026-05-05,NORTHEAST,RETAIL,78
2026-05-05,NORTHEAST,DIGITAL,83
2026-05-05,SOUTHEAST,RETAIL,88
2026-05-05,SOUTHEAST,DIGITAL,93
2026-05-05,CENTRAL,RETAIL,98
2026-05-05,CENTRAL,DIGITAL,103
2026-05-05,WEST,RETAIL,108
2026-05-05,WEST,DIGITAL,113
2026-05-06,NORTHEAST,RETAIL,78
2026-05-06,NORTHEAST,DIGITAL,83
2026-05-06,SOUTHEAST,RETAIL,88
2026-05-06,SOUTHEAST,DIGITAL,93
2026-05-06,CENTRAL,RETAIL,98
2026-05-06,CENTRAL,DIGITAL,103
2026-05-06,WEST,RETAIL,108
2026-05-06,WEST,DIGITAL,113
2026-05-07,NORTHEAST,RETAIL,78
2026-05-07,NORTHEAST,DIGITAL,83
2026-05-07,SOUTHEAST,RETAIL,88
2026-05-07,SOUTHEAST,DIGITAL,93
2026-05-07,CENTRAL,RETAIL,98
2026-05-07,CENTRAL,DIGITAL,103
2026-05-07,WEST,RETAIL,108
2026-05-07,WEST,DIGITAL,113
2026-05-08,NORTHEAST,RETAIL,78
2026-05-08,NORTHEAST,DIGITAL,83
2026-05-08,SOUTHEAST,RETAIL,88
2026-05-08,SOUTHEAST,DIGITAL,93
2026-05-08,CENTRAL,RETAIL,98
2026-05-08,CENTRAL,DIGITAL,103
2026-05-08,WEST,RETAIL,108
2026-05-08,WEST,DIGITAL,113
2026-05-09,NORTHEAST,RETAIL,78
2026-05-09,NORTHEAST,DIGITAL,83
2026-05-09,SOUTHEAST,RETAIL,88
2026-05-09,SOUTHEAST,DIGITAL,93
2026-05-09,CENTRAL,RETAIL,98
2026-05-09,CENTRAL,DIGITAL,103
2026-05-09,WEST,RETAIL,108
2026-05-09,WEST,DIGITAL,113
2026-05-10,NORTHEAST,RETAIL,78
2026-05-10,NORTHEAST,DIGITAL,83
2026-05-10,SOUTHEAST,RETAIL,88
2026-05-10,SOUTHEAST,DIGITAL,93
2026-05-10,CENTRAL,RETAIL,98
2026-05-10,CENTRAL,DIGITAL,103
2026-05-10,WEST,RETAIL,108
2026-05-10,WEST,DIGITAL,113
2026-05-11,NORTHEAST,RETAIL,78
2026-05-11,NORTHEAST,DIGITAL,83
2026-05-11,SOUTHEAST,RETAIL,88
2026-05-11,SOUTHEAST,DIGITAL,93
2026-05-11,CENTRAL,RETAIL,98
2026-05-11,CENTRAL,DIGITAL,103
2026-05-11,WEST,RETAIL,108
2026-05-11,WEST,DIGITAL,113
2026-05-12,NORTHEAST,RETAIL,78
2026-05-12,NORTHEAST,DIGITAL,83
2026-05-12,SOUTHEAST,RETAIL,88
2026-05-12,SOUTHEAST,DIGITAL,93
2026-05-12,CENTRAL,RETAIL,98
2026-05-12,CENTRAL,DIGITAL,103
2026-05-12,WEST,RETAIL,108
2026-05-12,WEST,DIGITAL,113
2026-05-13,NORTHEAST,RETAIL,78
2026-05-13,NORTHEAST,DIGITAL,83
2026-05-13,SOUTHEAST,RETAIL,88
2026-05-13,SOUTHEAST,DIGITAL,93
